indicator,reading,reference,phase
Achieved VLCC TCE vs mid-cycle,"$152,700",4.4-6.1x,LATE
1-yr TC vs mid-cycle (~$30k),"$105,000",3.0-4.2x,MID
Achieved TCE / 1-yr TC,1.5x,term mkt lags badly,LATE
Hormuz premium (TD3C-TD34),"$396,386/day",zero if strait normalises,EVENT-DRIVEN
5-yr-old vs newbuild,1.16x,>1.0x only at peaks,LATE
20-yr-old vs scrap,3.4x,normal ~1.2-1.5x,LATE
Value appreciation by age,+90% at 20yr vs +30% at 5yr,inverted,LATE
VLCCs ordered in 2026,217,vs ~2/yr scrapped 2025,LATE
Orderbook % of fleet,25%,was 2% in 2023,LATE
P/NAV vs own record high,1.62x / 1.69x,prior max 1.36x / 1.50x,LATE
P/E on Q2 annualised earnings,4.8x / 4.9x,peak zone 2.5-3.5x,MID-LATE
Deliveries 2027 / 2028,~41-68 / ~125-127,supply wall,PRE-WALL
